time ,strain(micro),F
7.88E-05,2560.150623,-0.363853743
0.0000792,2560.704055,-0.366779796
7.96E-05,2561.241063,-0.369714608
0.00008,2561.761224,-0.372656982
8.04E-05,2562.264133,-0.3756057
0.0000808,2562.749408,-0.378559526
8.12E-05,2563.216686,-0.381517205
0.0000816,2563.665628,-0.384477465
8.20E-05,2564.095914,-0.387439018
0.0000824,2564.507246,-0.390400559
8.28E-05,2564.899346,-0.39336077
0.0000832,2565.271959,-0.396318318
8.36E-05,2565.624851,-0.399271857
0.000084,2565.957809,-0.40222003
8.44E-05,2566.270641,-0.405161467
0.0000848,2566.563176,-0.408094791
8.52E-05,2566.835266,-0.411018611
0.0000856,2567.086783,-0.413931533
8.60E-05,2567.317619,-0.416832153
0.0000864,2567.527687,-0.419719061
8.68E-05,2567.716924,-0.422590842
0.0000872,2567.885282,-0.425446077
8.76E-05,2568.032739,-0.428283345
0.000088,2568.15929,-0.43110122
8.84E-05,2568.264952,-0.433898278
0.0000888,2568.349759,-0.436673095
8.92E-05,2568.413768,-0.439424244
0.0000896,2568.457054,-0.442150306
9.00E-05,2568.479712,-0.44484986
0.0000904,2568.481854,-0.447521494
9.08E-05,2568.463612,-0.450163797
0.0000912,2568.425137,-0.452775367
9.16E-05,2568.366598,-0.45535481
0.000092,2568.288181,-0.457900738
9.24E-05,2568.190089,-0.460411775
0.0000928,2568.072543,-0.462886555
9.32E-05,2567.935782,-0.465323723
0.0000936,2567.780059,-0.467721938
9.40E-05,2567.605644,-0.470079873
0.0000944,2567.412824,-0.472396215
9.48E-05,2567.2019,-0.474669667
0.0000952,2566.973188,-0.47689895
9.56E-05,2566.727018,-0.479082803
0.000096,2566.463735,-0.481219983
9.64E-05,2566.183697,-0.483309268
0.0000968,2565.887277,-0.485349458
9.72E-05,2565.574857,-0.487339372
0.0000976,2565.246836,-0.489277857
9.80E-05,2564.903621,-0.49116378
0.0000984,2564.545632,-0.492996035
9.88E-05,2564.1733,-0.494773542
0.0000992,2563.787066,-0.496495247
9.96E-05,2563.387381,-0.498160125
0.0001,2562.974706,-0.49976718
1.00E-04,2562.549511,-0.501315445
0.0001008,2562.112273,-0.502803983
1.01E-04,2561.663479,-0.504231891
0.0001016,2561.203623,-0.505598295
1.02E-04,2560.733204,-0.506902358
0.0001024,2560.252729,-0.508143274
1.03E-04,2559.762713,-0.509320274
0.0001032,2559.263672,-0.510432622
1.04E-04,2558.75613,-0.511479621
0.000104,2558.240614,-0.512460609
1.04E-04,2557.717657,-0.513374965
0.0001048,2557.187793,-0.514222103
1.05E-04,2556.651559,-0.515001478
0.0001056,2556.109496,-0.515712584
1.06E-04,2555.562146,-0.516354958
0.0001064,2555.010051,-0.516928174
1.07E-04,2554.453755,-0.517431852
0.0001072,2553.893802,-0.51786565
1.08E-04,2553.330737,-0.518229274
0.000108,2552.765103,-0.518522467
1.08E-04,2552.197441,-0.518745022
0.0001088,2551.628291,-0.518896772
1.09E-04,2551.058193,-0.518977595
0.0001096,2550.487679,-0.518987417
1.10E-04,2549.917284,-0.518926206
0.0001104,2549.347535,-0.518793978
1.11E-04,2548.778957,-0.518590793
0.0001112,2548.212068,-0.518316759
1.12E-04,2547.647384,-0.517972029
0.000112,2547.085414,-0.517556804
